"","id2","HMDBID","KEGGID","Descrip","Kingdom","Super_class","Class","Sub_class","CAS","DTXSID","DTXCID","SID","CID","KEGG","ChEBI","Drugbank","Name"
"trisaccharide (ex. raffinose)","trisaccharide (ex. raffinose)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tryptamine","tryptamine","HMDB0000303","C00398","belongs to the class of organic compounds known as tryptamines and derivatives. Tryptamines and derivatives are compounds containing the tryptamine backbone, which is structurally characterized by an indole ring substituted at the 3-position by an ethanamine.","Organic compounds","Organoheterocyclic compounds","Indoles and derivatives","Tryptamines and derivatives","61-54-1","DTXSID2075340","DTXCID3042922","315703264","  1150","C00398","16765","DB08653","Tryptamine"
"tryptophan","tryptophan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tyramine and or isomers","tyramine and or isomers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tyrosine","tyrosine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"uracil","uracil","HMDB0000300","C00106","belongs to the class of organic compounds known as pyrimidones. Pyrimidones are compounds that contain a pyrimidine ring, which bears a ketone. Pyrimidine is a 6-membered ring consisting of four carbon atoms and two nitrogen centers at the 1- and 3- ring positions.","Organic compounds","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","66-22-8","DTXSID4021424","DTXCID101424","315672314","  1174","C00106","17568","DB03419","Uracil"
"uric acid and or isomers","uric acid and or isomers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"uridine","uridine","HMDB0000296","C00299","belongs to the class of organic compounds known as pyrimidine nucleosides. Pyrimidine nucleosides are compounds comprising a pyrimidine base attached to a ribosyl or deoxyribosyl moiety.","Organic compounds","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","","58-96-8",NA,NA,"  8144667",NA,"C00299","16704","DB02745","Uridine"
"uridine 5-diphospho-N-acetylhexosamine","uridine-diphospho-n-acetylhexosamine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"uridine 5-diphosphohexose","uridine-diphosphohexose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"uridine 5-diphosphoric acid and or isomers","uridine-diphosphoric acid and or isomers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"uridine-5-monophosphoric acid","uridine-5-monophosphoric acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"valine","valine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vanillic acid","vanillic acid","HMDB0000484",NA,NA,NA,NA,NA,NA,"121-34-6","DTXSID6059522","DTXCID1033668","315687642","  8468","C06672","30816",NA,"Vanillic acid"
"xanthine","xanthine","HMDB0000292","C00385","belongs to the class of organic compounds known as xanthines. These are purine derivatives with a ketone group conjugated at carbons 2 and 6 of the purine moiety.","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","69-89-6","DTXSID4035120","DTXCID2015120","315677425","  1188","C00385","48517","DB02134","Xanthine"
"xanthosine","xanthosine","HMDB0000299","C01762","belongs to the class of organic compounds known as purine nucleosides. Purine nucleosides are compounds comprising a purine base attached to a ribosyl or deoxyribosyl moiety.","Organic compounds","Nucleosides, nucleotides, and analogues","Purine nucleosides","","146-80-5",NA,NA,"  8143886",NA,"C01762","18107",NA,"Xanthosine"
"xanthurenic acid","xanthurenic acid","HMDB0000881","C02470","belongs to the class of organic compounds known as quinoline carboxylic acids. These are quinolines in which the quinoline ring system is substituted by a carboxyl group at one or more positions.","Organic compounds","Organoheterocyclic compounds","Quinolines and derivatives","Quinoline carboxylic acids","59-00-7","DTXSID90207728","DTXCID40130219","315768029","  5699",NA,"10072",NA,"Xanthurenic acid"
