"","root-EOD-Arabidopsis-1-451-3-R","root-EOD-Arabidopsis-2-452-3-R","root-EOD-Arabidopsis-3-453-3-R","root-EOD-Arabidopsis-4-454-3-R","root-EOD-Arabidopsis-5-455-3-R","root-EOD-Arabidopsis-6-456-3-R","root-EOD-Brachy-1-433-3-R","root-EOD-Brachy-2-434-3-R","root-EOD-Brachy-3-436-3-R","root-EOD-Brachy-4-437-3-R","root-EOD-Brachy-5-438-3-R","root-EOD-Brachy-6-439-3-R","root-EOD-Medicago-1-442-3a-R","root-EOD-Medicago-2-442-3b-R","root-EOD-Medicago-3-444-3a-R","root-EOD-Medicago-4-449-3a-R","root-EOD-Medicago-5-449-3b-R","root-EON-Arabidopsis-1-451-4-R","root-EON-Arabidopsis-2-452-4-R","root-EON-Arabidopsis-3-453-4-R","root-EON-Arabidopsis-4-454-4-R","root-EON-Arabidopsis-5-455-4-R","root-EON-Arabidopsis-6-456-4-R","root-EON-Brachy-1-433-4-R","root-EON-Brachy-2-434-4-R","root-EON-Brachy-3-436-4-R","root-EON-Brachy-4-437-4-R","root-EON-Brachy-5-438-4-R","root-EON-Brachy-6-439-4-R","root-EON-Medicago-1-442-4c-R","root-EON-Medicago-2-444-4b-R","root-EON-Medicago-3-444-4c-R","root-EON-Medicago-4-449-4c-R","shoot-EOD-Arabidopsis-1-451-3-S","shoot-EOD-Arabidopsis-2-452-3-S","shoot-EOD-Arabidopsis-3-453-3-S","shoot-EOD-Arabidopsis-4-454-3-S","shoot-EOD-Arabidopsis-5-455-3-S","shoot-EOD-Arabidopsis-6-456-3-S","shoot-EOD-Brachy-1-433-3-S","shoot-EOD-Brachy-2-434-3-S","shoot-EOD-Brachy-3-436-3-S","shoot-EOD-Brachy-4-437-3-S","shoot-EOD-Brachy-5-438-3-S","shoot-EOD-Brachy-6-439-3-S","shoot-EOD-Medicago-1-442-3a-S","shoot-EOD-Medicago-2-442-3b-S","shoot-EOD-Medicago-3-444-3a-S","shoot-EOD-Medicago-4-449-3a-S","shoot-EOD-Medicago-5-449-3b-S","shoot-EON-Arabidopsis-1-451-4-S","shoot-EON-Arabidopsis-2-452-4-S","shoot-EON-Arabidopsis-3-453-4-S","shoot-EON-Arabidopsis-4-454-4-S","shoot-EON-Arabidopsis-5-455-4-S","shoot-EON-Arabidopsis-6-456-4-S","shoot-EON-Brachy-1-433-4-S","shoot-EON-Brachy-2-434-4-S","shoot-EON-Brachy-3-436-4-S","shoot-EON-Brachy-5-438-4-S","shoot-EON-Brachy-6-439-4-S","shoot-EON-Medicago-1-442-4c-S","shoot-EON-Medicago-2-444-4b-S","shoot-EON-Medicago-3-444-4c-S","shoot-EON-Medicago-4-449-4c-S"
"adenine",143688.653198242,5895041.96569824,2928646.71569824,0,1044814.09069824,9330090.46569824,0,348463.465698242,1221489.96569824,0,0,488571.340698242,92613.1531982422,0,544959.840698242,750801.340698242,342394.840698242,0,0,3064216.96569824,54189.9656982422,0,2085099.21569824,0,1317554.59069824,0,489685.340698242,666970.715698242,0,485719.528198242,0,1820387.96569824,0,147833.903198242,0,1979970.96569824,0,171585.465698242,0,0,0,68110.9656982422,0,402409.653198242,0,774842.340698242,1444535.96569824,296528.840698242,232706.090698242,902648.090698242,0,0,901959.715698242,429972.840698242,76740.2781982422,0,0,0,190161.465698242,551847.590698242,14074.3406982422,741435.465698242,726592.590698242,1074455.09069824,327477.715698242
"adenosine",143688.653198242,5895041.96569824,2928646.71569824,0,1044814.09069824,9330090.46569824,0,348463.465698242,1221489.96569824,0,0,488571.340698242,92613.1531982422,0,544959.840698242,750801.340698242,342394.840698242,0,0,3064216.96569824,54189.9656982422,0,2085099.21569824,0,1317554.59069824,0,489685.340698242,666970.715698242,0,485719.528198242,0,1820387.96569824,0,147833.903198242,0,1979970.96569824,0,171585.465698242,0,0,0,68110.9656982422,0,402409.653198242,0,774842.340698242,1444535.96569824,296528.840698242,232706.090698242,902648.090698242,0,0,901959.715698242,429972.840698242,76740.2781982422,0,0,0,190161.465698242,551847.590698242,14074.3406982422,741435.465698242,726592.590698242,1074455.09069824,327477.715698242
"adenosine 5-monophosphoric acid",12289.4412841797,69862.1639404297,147020.03894043,47553.6990966797,29405.6717529297,106951.89050293,102787.58581543,81592.5389404297,229595.47644043,62058.0780029297,71534.4451904297,230243.21081543,49490.5584716797,89943.8436279297,40304.6912841797,48284.8045654297,34734.4608154297,37984.2967529297,8254.71667480469,39970.6639404297,13973.5057373047,0,72711.7733154297,51973.8084716797,83449.3045654297,16393.2889404297,51722.3358154297,58033.3123779297,60347.4373779297,39997.4412841797,43408.3319091797,31130.9725341797,29026.1053466797,94977.8358154297,163530.21081543,233834.63269043,121511.23425293,164313.24206543,64516.2342529297,210836.35144043,219617.39831543,237673.80456543,161447.21081543,391274.91394043,215853.32019043,531797.57019043,1534652.69519043,452791.28894043,390297.25769043,564231.50769043,179608.75769043,31275.2186279297,109118.74987793,171610.41394043,68033.5076904297,59281.5780029297,89747.4998779297,175274.66394043,196312.66394043,356127.91394043,117567.45300293,274426.44519043,273268.28894043,729167.00769043,442471.75769043
"agmatine sulfuric acid",237861.673828125,695365.267578125,711786.830078125,68314.361328125,402428.048828125,1667162.51757812,5051.302734375,77236.501953125,72527.767578125,9852.978515625,8539.837890625,52979.361328125,134350.986328125,220404.658203125,69490.330078125,93024.658203125,108349.533203125,116268.564453125,164338.236328125,466084.423828125,110830.767578125,105789.814453125,229760.939453125,332.103515625,109878.705078125,35049.197265625,83680.134765625,76934.470703125,2366.607421875,50112.970703125,0,191946.298828125,0,155866.080078125,161004.673828125,717906.705078125,286795.423828125,198514.751953125,256635.455078125,228576.376953125,1282576.51757812,689849.517578125,365104.142578125,1123724.39257812,402386.111328125,39167.978515625,159761.705078125,74459.275390625,16572.712890625,130401.126953125,361805.955078125,188101.142578125,110131.892578125,483992.736328125,251898.986328125,153757.439453125,318561.423828125,467023.205078125,715816.080078125,1093580.01757812,438888.017578125,199367.783203125,600060.642578125,133182.298828125,39409.408203125
"alanine",237861.673828125,695365.267578125,711786.830078125,68314.361328125,402428.048828125,1667162.51757812,5051.302734375,77236.501953125,72527.767578125,9852.978515625,8539.837890625,52979.361328125,134350.986328125,220404.658203125,69490.330078125,93024.658203125,108349.533203125,116268.564453125,164338.236328125,466084.423828125,110830.767578125,105789.814453125,229760.939453125,332.103515625,109878.705078125,35049.197265625,83680.134765625,76934.470703125,2366.607421875,50112.970703125,0,191946.298828125,0,155866.080078125,161004.673828125,717906.705078125,286795.423828125,198514.751953125,256635.455078125,228576.376953125,1282576.51757812,689849.517578125,365104.142578125,1123724.39257812,402386.111328125,39167.978515625,159761.705078125,74459.275390625,16572.712890625,130401.126953125,361805.955078125,188101.142578125,110131.892578125,483992.736328125,251898.986328125,153757.439453125,318561.423828125,467023.205078125,715816.080078125,1093580.01757812,438888.017578125,199367.783203125,600060.642578125,133182.298828125,39409.408203125
"allantoin",95952.4974365234,155197.856811523,85926.9271240234,174852.919311523,219581.903686523,165999.528686523,153018.528686523,170580.888061523,106004.388061523,154930.919311523,183727.481811523,264457.247436523,348931.809936523,345085.934936523,414907.809936523,407096.403686523,405500.403686523,195331.700561523,110110.802124023,144901.153686523,147780.091186523,144673.622436523,277051.934936523,150037.247436523,129333.169311523,118154.669311523,175440.309936523,103304.614624023,206610.559936523,455504.247436523,301867.653686523,149973.028686523,234202.216186523,134069.450561523,257954.747436523,215003.559936523,332779.278686523,226299.825561523,315757.341186523,1608681.68493652,1284765.43493652,1286157.18493652,1518335.18493652,937056.122436523,1219281.68493652,641697.997436523,2016621.80993652,474269.747436523,1009170.05993652,1287043.93493652,230657.513061523,163726.606811523,295790.028686523,470062.091186523,187491.966186523,223958.309936523,1436501.68493652,1614552.30993652,1690112.30993652,2050872.05993652,1435602.68493652,886454.809936523,1077203.93493652,686070.372436523,789203.309936523
"alpha-aminoadipic acid",187349.698608398,727107.464233398,1226728.0267334,88644.6595458984,222409.417358398,1401538.5267334,52510.4720458984,142604.089233398,167962.901733398,45183.3157958984,62204.1204833984,199274.542358398,304865.995483398,311440.964233398,182410.386108398,231026.854858398,285613.557983398,190744.182983398,139261.839233398,678216.151733398,93527.0657958984,187765.042358398,198182.886108398,46855.6947021484,133661.464233398,102002.667358398,81812.1439208984,124727.214233398,52048.6790771484,156365.479858398,62834.3939208984,142132.089233398,39709.1361083984,458002.151733398,360228.526733398,1341834.0267334,101046.878295898,230062.511108398,703132.026733398,871838.776733398,1453005.4017334,2639146.2767334,978156.214233398,957486.026733398,1172407.5267334,900595.526733398,1889319.7767334,848486.526733398,514354.714233398,1676230.5267334,822505.589233398,121386.479858398,287243.682983398,302641.245483398,556016.714233398,254561.714233398,518629.526733398,376696.526733398,1295082.9017334,3618098.5267334,660167.901733398,1430071.6517334,939357.464233398,1402982.7767334,391776.370483398
"arginine",6229905.31750488,12129633.8175049,10739062.8175049,3472717.56750488,7087205.31750488,18450659.8175049,811509.317504883,972487.255004883,1132555.81750488,727817.755004883,663592.755004883,1399151.81750488,9322189.81750488,7230875.31750488,12191500.8175049,10829777.8175049,12884326.8175049,2487362.81750488,4459654.81750488,6330788.31750488,5480475.81750488,5447229.31750488,3921331.56750488,708317.192504883,1311658.06750488,3384682.81750488,899004.692504883,671492.692504883,692982.067504883,8385922.81750488,3594424.81750488,4481526.81750488,5132650.31750488,583742.942504883,1776989.94250488,5617775.81750488,735387.630004883,1213998.19250488,586818.755004883,918479.442504883,1691412.19250488,1092841.81750488,1195786.81750488,1037284.94250488,710236.317504883,7558169.81750488,13585982.8175049,8711194.81750488,6372952.31750488,13070334.8175049,3502988.56750488,1571876.31750488,1082666.44250488,459052.192504883,450965.786254883,271740.317504883,1217618.44250488,1240267.19250488,1589083.81750488,1815890.56750488,1261072.56750488,12461659.8175049,12269517.8175049,12617405.8175049,6172416.81750488
"asparagine",49860.00390625,142925.96875,115907.078125,70137.671875,98506.21875,187657.125,35376.56640625,89433.6484375,84782.7578125,39344.02734375,37725.73828125,96832.421875,137137.53125,124203.25,137764.234375,147171.9375,140034.125,66982.6328125,44902.84375,75381.796875,72242.34375,41343.1953125,128861.484375,35483.73046875,88150.8984375,32651.01953125,108550.0546875,79451.4609375,34032.75390625,103766.1875,74942.9296875,68274.5234375,59228.08203125,143533.5,81442.078125,202000.90625,67370.484375,121110.015625,79979.6328125,443589.75,366138.15625,944263.375,403423.96875,808081.8125,359351.65625,210156.578125,289254.84375,245110.9375,206931.71875,361774.15625,87834.90625,58689.82421875,143529.9375,181306.578125,117323.234375,48477.87890625,528259.9375,812780.0625,1084771.625,1297749.625,664217.6875,303119.5625,289794.1875,238691,148729.4375
"aspartic acid",14994.8878173828,28707.9229736328,89842.0401611328,11414.5089111328,39107.2354736328,94364.0870361328,4304.39367675781,21534.7120361328,8067.84680175781,0,4724.67883300781,14060.1339111328,131773.008911133,70187.1807861328,113474.524536133,69821.9620361328,142047.899536133,28930.2159423828,8463.44250488281,44570.5675048828,33230.9737548828,27505.7901611328,58915.8370361328,0,23149.6456298828,24354.3721923828,16377.7550048828,11435.1397705078,16863.5050048828,88163.0401611328,6995.50695800781,114532.758911133,7500.18664550781,130468.305786133,6044.17492675781,186121.774536133,15076.5909423828,45358.0167236328,39795.4229736328,1771758.69641113,1918938.82141113,2615353.57141113,1106284.94641113,1285837.82141113,1452416.07141113,54711.0948486328,101508.969848633,134666.524536133,65112.4854736328,264085.571411133,144713.540161133,19362.9112548828,126738.555786133,101910.133911133,146190.680786133,67371.8370361328,745361.133911133,1257107.69641113,1698099.44641113,2675823.32141113,1172549.69641113,89874.2198486328,533535.446411133,186747.883911133,19483.5245361328
"azelaic acid",164068.61328125,202985.66015625,239968.44140625,93214.19921875,107056.73046875,341479.97265625,1107946.75390625,1058159.37890625,1686340.00390625,1090861.87890625,553321.00390625,1884838.37890625,517312.34765625,925159.94140625,379710.91015625,303907.62890625,353274.28515625,165539.87890625,157570.20703125,225996.42578125,149196.97265625,183846.75390625,1439269.25390625,966979.06640625,3200554.50390625,274021.22265625,1105010.62890625,934615.75390625,2078516.75390625,225431.53515625,223491.17578125,660483.37890625,363013.66015625,89929.94921875,128045.26953125,346049.91015625,104755.09765625,127877.87890625,88991.94140625,1027129.56640625,4104450.75390625,3322790.50390625,1448639.00390625,3891873.50390625,1620633.62890625,272432.81640625,341919.94140625,245075.67578125,170481.19140625,258121.06640625,192566.81640625,154164.44140625,171862.78515625,143904.86328125,83401.79296875,98917.85546875,1678989.00390625,1824192.62890625,4310581.00390625,3524642.50390625,1029288.81640625,264106.09765625,299525.37890625,284860.00390625,227589.76953125
"betaine",3340415.15222168,6163499.65222168,6462571.15222168,1997706.40222168,3591470.65222168,10866156.6522217,1497333.90222168,3024957.40222168,2439889.15222168,1434396.27722168,1417744.90222168,2576174.65222168,4597537.15222168,3974533.40222168,4704074.15222168,3873127.65222168,5058615.15222168,2093462.40222168,2655751.65222168,4287431.15222168,2970624.65222168,3124040.90222168,5587197.65222168,1077491.40222168,2966301.65222168,1888040.40222168,2615542.65222168,1845317.90222168,1281375.52722168,4653916.15222168,2506317.90222168,1862920.77722168,2242741.90222168,203638.05847168,1252159.02722168,5023869.65222168,274046.74597168,427454.96472168,204133.68347168,4210581.15222168,10656006.6522217,7595422.15222168,4321037.15222168,7145567.65222168,5492619.65222168,4732028.65222168,7661170.65222168,6194967.65222168,4563422.65222168,7596005.65222168,2789491.65222168,1555206.65222168,1891152.52722168,867428.46472168,397038.99597168,332312.18347168,4194431.65222168,5418460.65222168,8829766.65222168,9908065.65222168,4855326.65222168,6481366.65222168,8767855.65222168,5343754.65222168,2721719.90222168
"biliverdin",49860.00390625,142925.96875,115907.078125,70137.671875,98506.21875,187657.125,35376.56640625,89433.6484375,84782.7578125,39344.02734375,37725.73828125,96832.421875,137137.53125,124203.25,137764.234375,147171.9375,140034.125,66982.6328125,44902.84375,75381.796875,72242.34375,41343.1953125,128861.484375,35483.73046875,88150.8984375,32651.01953125,108550.0546875,79451.4609375,34032.75390625,103766.1875,74942.9296875,68274.5234375,59228.08203125,143533.5,81442.078125,202000.90625,67370.484375,121110.015625,79979.6328125,443589.75,366138.15625,944263.375,403423.96875,808081.8125,359351.65625,210156.578125,289254.84375,245110.9375,206931.71875,361774.15625,87834.90625,58689.82421875,143529.9375,181306.578125,117323.234375,48477.87890625,528259.9375,812780.0625,1084771.625,1297749.625,664217.6875,303119.5625,289794.1875,238691,148729.4375
"caffeic acid",13003083.5469971,21203547.5469971,9025698.54699707,20142795.5469971,21952579.5469971,24844309.5469971,5068538.04699707,3857902.79699707,2836410.79699707,4254832.54699707,3489699.04699707,5452050.54699707,20949937.5469971,15190730.5469971,25089391.5469971,23392753.5469971,25789927.5469971,16747319.5469971,15858191.5469971,18502189.5469971,17551137.5469971,19493095.5469971,13923387.5469971,4900194.54699707,3601214.79699707,12238282.5469971,3951340.29699707,2026724.92199707,5384378.04699707,23477077.5469971,19955335.5469971,9801622.54699707,15859657.5469971,5198494.54699707,11713854.5469971,9121971.54699707,9841139.54699707,7660156.54699707,12487634.5469971,18771471.5469971,17566257.5469971,16208993.5469971,18777461.5469971,6044244.04699707,14111824.5469971,20496923.5469971,28186849.5469971,14098747.5469971,20833871.5469971,34775519.5469971,9556111.54699707,10252806.5469971,11934812.5469971,16094494.5469971,9719643.54699707,9750638.54699707,15391608.5469971,25820227.5469971,17134305.5469971,19515037.5469971,9757792.54699707,26760141.5469971,35727207.5469971,27822335.5469971,17143245.5469971
"carnosine",49860.00390625,142925.96875,115907.078125,70137.671875,98506.21875,187657.125,35376.56640625,89433.6484375,84782.7578125,39344.02734375,37725.73828125,96832.421875,137137.53125,124203.25,137764.234375,147171.9375,140034.125,66982.6328125,44902.84375,75381.796875,72242.34375,41343.1953125,128861.484375,35483.73046875,88150.8984375,32651.01953125,108550.0546875,79451.4609375,34032.75390625,103766.1875,74942.9296875,68274.5234375,59228.08203125,143533.5,81442.078125,202000.90625,67370.484375,121110.015625,79979.6328125,443589.75,366138.15625,944263.375,403423.96875,808081.8125,359351.65625,210156.578125,289254.84375,245110.9375,206931.71875,361774.15625,87834.90625,58689.82421875,143529.9375,181306.578125,117323.234375,48477.87890625,528259.9375,812780.0625,1084771.625,1297749.625,664217.6875,303119.5625,289794.1875,238691,148729.4375
"choline and or isomers",498939.590270996,626298.652770996,588808.090270996,110341.246520996,213425.543395996,1239662.090271,207417.199645996,325044.746520996,267927.246520996,188614.387145996,363803.590270996,299079.652770996,713456.715270996,423168.559020996,777111.777770996,646549.152770996,891057.902770996,617993.777770996,259104.090270996,632275.090270996,236919.777770996,370889.559020996,755116.402770996,190003.574645996,207484.637145996,243148.230895996,146830.949645996,243659.887145996,206793.371520996,548663.840270996,360072.527770996,529736.402770996,293849.809020996,4437260.965271,2617148.465271,7688988.465271,2061222.965271,1559834.465271,4777010.465271,6087121.465271,10440410.965271,6501745.965271,8942569.965271,8122668.965271,8189236.965271,4116621.465271,6703773.465271,4727085.965271,4149098.965271,5409667.465271,1645315.715271,250739.590270996,563513.402770996,289319.934020996,444557.215270996,544704.527770996,5855660.465271,6366976.465271,5414198.465271,9024172.965271,3824422.215271,3613445.465271,7046424.465271,3329224.715271,2673262.215271
"citrulline",416192.27947998,260506.99822998,74820.2404174805,797447.52947998,335869.52947998,196117.63885498,1323007.65447998,453929.43572998,276422.15447998,1525017.27947998,1875866.65447998,440058.18572998,59902.4591674805,53279.9201049805,44154.3810424805,48527.8302612305,52764.8966674805,1006669.40447998,438548.74822998,173836.45135498,789882.02947998,455640.43572998,1714529.52947998,1275791.02947998,290941.46697998,736203.27947998,520738.09197998,231868.81072998,1496343.65447998,60230.2638549805,211422.09197998,13819.8478393555,91266.1622924805,46799.6427612305,152784.49822998,99219.6622924805,168795.73260498,79233.1857299805,190938.79510498,1720698.65447998,1675047.40447998,1054332.40447998,1779463.77947998,459892.99822998,1332817.02947998,131892.65447998,50900.1701049805,56507.0607299805,184400.99822998,139289.09197998,204566.93572998,140082.35760498,100707.33416748,78035.4826049805,77367.1310424805,151978.51385498,1620735.77947998,2047280.77947998,1341842.65447998,977589.59197998,613628.34197998,63943.9435424805,509709.90447998,70850.7013549805,125321.18572998
"cysteic acid",299736.292358398,788301.104858398,457747.073608398,312624.886108398,481877.886108398,943172.854858398,0,19679.3197021484,4703.81970214844,0,1052.96032714844,362783.167358398,331783.104858398,293192.667358398,454447.292358398,300103.511108398,393597.573608398,547358.229858398,299258.136108398,458204.823608398,439534.198608398,521505.854858398,0,0,176346.073608398,277723.073608398,254643.386108398,158140.386108398,200299.323608398,527369.229858398,321533.417358398,194080.464233398,118020.167358398,1150023.9798584,1842170.4798584,1775105.3548584,3096899.3548584,3041050.1048584,1441063.2298584,1510001.3548584,1327003.2298584,1961422.6048584,1570662.7298584,1529973.2298584,1311736.4798584,2417019.1048584,6914512.3548584,3583866.1048584,2950927.6048584,6528810.8548584,378894.261108398,659914.417358398,1996720.7298584,1748728.4798584,1129537.2298584,729482.104858398,848450.479858398,1098176.8548584,1643357.3548584,2026331.6048584,1204125.6048584,5135961.3548584,5109577.3548584,3491781.8548584,1521663.6048584
"cytidine",0,27642.821472168,0,0,27200.258972168,30017.335144043,2003214.71600342,1507830.46600342,1215892.96600342,663366.216003418,148565.325378418,415259.184753418,0,14179.579284668,0,0,0,0,0,107223.880065918,0,0,10906151.0910034,927397.778503418,352132.934753418,890881.028503418,633327.028503418,602453.091003418,933828.841003418,0,9164.92498779297,0,0,0,42335.786315918,0,260817.966003418,48711.762878418,30350.626159668,36671.883972168,92079.567565918,41618.204284668,0,42551.919128418,25559.880065918,36911.977722168,34066.985534668,16590.626159668,54743.977722168,21023.319519043,0,38098.102722168,57563.274597168,0,0,54353.798034668,21384.977722168,49600.161315918,14958.399597168,90555.364440918,22584.725769043,34676.735534668,27545.456237793,0,0
"cytidine 2,3-cyclic mono-phosphoric acid",21388.9038085938,174208.962402344,92009.3608398438,27177.9702148438,152786.071777344,205074.056152344,13843.8217773438,74116.8452148438,90566.1420898438,11256.1381835938,8127.46630859375,95012.0327148438,92146.4858398438,79570.5014648438,130159.134277344,116636.001464844,128167.821777344,27819.4233398438,34007.4663085938,123101.806152344,54542.1499023438,49564.0288085938,243447.243652344,2649.15576171875,89677.2983398438,17060.7729492188,73015.7592773438,72686.9702148438,41726.2280273438,97117.2983398438,28279.7905273438,53357.6030273438,18867.8940429688,522560.181152344,138610.821777344,512545.681152344,148599.306152344,589504.806152344,152698.478027344,345390.524902344,309853.493652344,849803.493652344,321207.149902344,623086.306152344,311968.431152344,148700.337402344,539874.868652344,330341.087402344,167185.384277344,514663.556152344,88218.9545898438,65789.8764648438,308578.962402344,406597.556152344,330475.368652344,131385.540527344,308892.743652344,444087.618652344,888592.306152344,1027781.05615234,326049.774902344,437272.712402344,574872.681152344,452889.274902344,132037.009277344
"cytosine",1612299.15344238,1275953.40344238,4718036.52844238,2700982.77844238,1464391.40344238,2183771.77844238,4809338.52844238,12180962.5284424,9937485.52844238,5450352.02844238,5422415.52844238,11277072.5284424,1854405.40344238,1020649.77844238,1883816.65344238,1237054.90344238,393643.122192383,1853349.52844238,748938.215942383,3572446.27844238,1048988.65344238,2157701.52844238,12407703.5284424,3243172.27844238,12350451.5284424,1893796.15344238,9960902.52844238,9243840.52844238,3958644.02844238,1442009.77844238,993123.215942383,799856.090942383,408146.059692383,5988721.02844238,11846634.5284424,27486858.5284424,3817653.27844238,7654749.52844238,3434445.27844238,13017091.5284424,30823888.5284424,41381446.5284424,13609121.5284424,38412398.5284424,17129746.5284424,8960304.52844238,15238557.5284424,13551787.5284424,10868655.5284424,11682529.5284424,9129469.52844238,10534818.5284424,24038578.5284424,12287855.5284424,8854900.52844238,4039511.02844238,10484512.5284424,13063500.5284424,41431134.5284424,51451374.5284424,25263960.5284424,6352885.02844238,23661774.5284424,5723352.02844238,5356868.02844238
"dAMP",2883293.44665527,12959993.9466553,4366971.44665527,10723565.9466553,12589283.9466553,9825594.94665527,10288855.9466553,12083523.9466553,11460180.9466553,8087820.94665527,10916939.9466553,10623038.9466553,2268231.69665527,2516083.19665527,2945786.19665527,2340116.69665527,2717111.94665527,8144983.94665527,3132629.19665527,2834033.19665527,9199601.94665527,3617217.19665527,27310727.9466553,8019581.94665527,12312002.9466553,4893256.94665527,17341939.9466553,13126007.9466553,8993595.94665527,4826567.94665527,4691535.94665527,1634128.57165527,3203190.44665527,11323193.9466553,13833449.9466553,21223941.9466553,10430472.9466553,24127301.9466553,16947063.9466553,77188761.9466553,107260737.946655,74332633.9466553,54040557.9466553,42896421.9466553,77148921.9466553,13327870.9466553,13391662.9466553,14021072.9466553,23483605.9466553,24286095.9466553,11414800.9466553,17038823.9466553,39800497.9466553,30572863.9466553,16756711.9466553,18873301.9466553,116483169.946655,156387529.946655,142193241.946655,122630681.946655,92465577.9466553,29044415.9466553,86921449.9466553,20842757.9466553,17243793.9466553
"deoxycytidine",662417.494628906,1242536.24462891,646628.869628906,1264549.99462891,1223476.24462891,2075062.36962891,732365.682128906,762378.869628906,420927.807128906,749589.619628906,890037.744628906,1065629.86962891,59615.3188476562,120419.502441406,81678.4243164062,128854.244628906,75955.4399414062,980623.619628906,881139.432128906,746192.869628906,977139.119628906,1299251.49462891,1382056.74462891,688416.432128906,798788.244628906,728573.307128906,836651.244628906,495687.213378906,1038261.11962891,70134.5415039062,88929.6352539062,15325.5004882812,40360.7719726562,137371.869628906,203784.807128906,256041.541503906,168271.197753906,265390.932128906,298419.182128906,1840884.24462891,2069865.24462891,1277812.86962891,1578630.36962891,1091876.36962891,1545080.74462891,714928.494628906,789236.432128906,483681.213378906,478633.494628906,885959.119628906,178668.854003906,180658.510253906,294653.932128906,360243.557128906,155512.729003906,157449.291503906,1532484.36962891,1823638.49462891,1431078.11962891,2338700.74462891,1077864.99462891,1048484.86962891,512185.588378906,1149926.49462891,717306.244628906
"dethiobiotin",23398.8491210938,12426.6479492188,9242.93701171875,1684.06005859375,4869.10888671875,13894.6479492188,777356199.374512,644191463.374512,550618919.374512,646900583.374512,991630951.374512,995996519.374512,5682.52294921875,4221.81787109375,24908.9760742188,0,1707.66357421875,33626.6518554688,6613.58740234375,1277232.87451172,15456.5756835938,22786.1459960938,1088922791.37451,572217127.374512,419450759.374512,28211375.3745117,832288615.374512,576559591.374512,415885927.374512,0,3396.26708984375,5084.43115234375,0,11745.5092773438,17135.9428710938,59318.3745117188,26740.0581054688,8302.26708984375,59735.1557617188,2103525.37451172,10556137.3745117,266314.124511719,2487205.12451172,167477.624511719,2643320.12451172,36519.5112304688,19692.1791992188,33434.0854492188,37592.6245117188,45432.8276367188,136650.796386719,26836.0268554688,11389.4038085938,36133.6909179688,13993.7377929688,40891.6557617188,833271.749511719,1181351.87451172,106144.601074219,1767000.99951172,174595.062011719,24551.3862304688,25902.6713867188,24547.1049804688,23831.5952148438
"dihexose pk 1 (ex. sucrose, palatinose)",3605862.23291016,23991442.9829102,8604081.98291016,13809577.9829102,22729362.9829102,12395696.9829102,8721469.98291016,9720995.98291016,12077825.9829102,7547885.48291016,6275445.48291016,12479755.9829102,2348827.98291016,2460542.48291016,3342803.23291016,1939102.73291016,2846349.48291016,6195558.48291016,7392351.48291016,10626468.9829102,12899506.9829102,8951547.98291016,54482754.9829102,10183812.9829102,21246474.9829102,8461172.98291016,21104620.9829102,14125089.9829102,13854400.9829102,4371223.48291016,3233261.98291016,2793991.23291016,2597683.48291016,4945724.98291016,8651159.98291016,15953147.9829102,3713369.98291016,12380780.9829102,7464507.48291016,60119918.9829102,84200822.9829102,70761758.9829102,54267650.9829102,44589910.9829102,62865550.9829102,6500305.98291016,10367526.9829102,8031064.48291016,5217386.48291016,10352576.9829102,11900630.9829102,12302420.9829102,22842174.9829102,17174564.9829102,11464447.9829102,7485650.48291016,106523510.98291,129386838.98291,146278246.98291,111167534.98291,101345742.98291,20636034.9829102,15949151.9829102,15957337.9829102,10424186.9829102
"dihexose pk 2 (ex. maltose, cellobiose)",3605862.23291016,23991442.9829102,8604081.98291016,13809577.9829102,22729362.9829102,12395696.9829102,8721469.98291016,9720995.98291016,12077825.9829102,7547885.48291016,6275445.48291016,12479755.9829102,2348827.98291016,2460542.48291016,3342803.23291016,1939102.73291016,2846349.48291016,6195558.48291016,7392351.48291016,10626468.9829102,12899506.9829102,8951547.98291016,54482754.9829102,10183812.9829102,21246474.9829102,8461172.98291016,21104620.9829102,14125089.9829102,13854400.9829102,4371223.48291016,3233261.98291016,2793991.23291016,2597683.48291016,4945724.98291016,8651159.98291016,15953147.9829102,3713369.98291016,12380780.9829102,7464507.48291016,60119918.9829102,84200822.9829102,70761758.9829102,54267650.9829102,44589910.9829102,62865550.9829102,6500305.98291016,10367526.9829102,8031064.48291016,5217386.48291016,10352576.9829102,11900630.9829102,12302420.9829102,22842174.9829102,17174564.9829102,11464447.9829102,7485650.48291016,106523510.98291,129386838.98291,146278246.98291,111167534.98291,101345742.98291,20636034.9829102,15949151.9829102,15957337.9829102,10424186.9829102
